,studentID,admissionstest,AP,averageAP,SATsubject,GPA,GPA_w,program,schooltype,female,MinorityGender,MinorityRace,international,sports,collegeID,earlyAppl,alumni,outofstate,acceptStatus,name,acceptrate,size,public,finAidPct,instatePct
19,ES04D6YXJY,-0.765636736239,3.0,0.119917601244,-0.440896777558,-0.431377009969,-0.149505826558,English,1.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
20,HZM1U0C04O,0.953519001907,4.0,0.712423770893,-0.440896777558,0.249788181795,0.476228984466,History,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
21,ML15A4WKYB,0.552382663007,7.0,1.06792747268,-0.440896777558,0.00651489902251,1.23232521445,Physics,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
22,SP9VC29HUI,-2.08365613548,0.0,,-0.440896777558,-1.64774342383,-1.58348143515,Engineering or Business,0.0,0.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
23,V5UJNEN3DK,0.32316189792,2.0,1.06792747268,1.85275457618,0.29844283835,-0.566662367241,Economics,0.0,1.0,0.0,0.0,0.0,0.0,Rice,1.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
24,MM15CWDWRQ,0.896213810636,3.0,-0.828092270194,-0.440896777558,-0.674650292741,-0.566662367241,ECONOMICS,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
25,L3TDF6YJHK,0.208551515377,7.0,0.458492555329,0.323653673689,-0.674650292741,-0.566662367241,Chemistry,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
26,2LT7OFQY74,-0.536415971153,7.0,-0.557232306926,0.323653673689,0.249788181795,0.580518119636,Physics,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
27,57W3PJGQEU,-0.192584823523,0.0,,-1.96999768005,0.103824212132,-0.827385205168,Business,1.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
29,P4AYCHD0S3,0.896213810636,1.0,-0.354087334475,1.08820412494,-4.56702281711,,Pre Veterinary Studies,0.0,1.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
30,4BXFZB5R53,0.896213810636,7.0,1.06792747268,-0.440896777558,0.590370777677,1.59733718755,,,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
31,7E593VHT0D,0.208551515377,4.0,-1.06509473805,0.323653673689,-0.820614262405,0.398012133088,,0.0,1.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
32,Y2DGL0F11M,-0.937552310053,2.0,0.356920069103,0.323653673689,0.152478868686,-0.514517799656,Biology,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
33,M0ESGBQO9N,-0.479110779881,7.0,0.255347582878,1.08820412494,-0.674650292741,-0.436300948278,Computer Engineering,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
34,W796LITIP9,1.46926572335,3.0,1.06792747268,0.323653673689,0.29844283835,,,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
35,058TYD7CCK,-0.135279632252,5.0,0.783524511251,-1.96999768005,0.639025434232,,,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
37,W3EJ3T2EEH,-0.192584823523,3.0,-0.828092270194,1.08820412494,0.444406808014,-0.253794961729,english,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
38,W0PKXZP7XI,-0.249890014795,5.0,-0.0696843730438,1.85275457618,0.444406808014,1.28446978204,Anthropology Spanish,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
40,1I6WVI4DLF,-1.22407826641,4.0,-0.354087334475,-0.440896777558,0.0551695555771,0.528373552051,Psychology,,0.0,0.0,1.0,0.0,1.0,Rice,0.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
41,RNGBB4FJ5N,1.18273976699,5.0,-0.354087334475,1.08820412494,0.590370777677,1.25839749825,,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,1.0,Rice,0.151,6621,0,0.0,0
42,3W6B0ATUIK,-0.479110779881,5.0,0.214718588388,-0.440896777558,0.541716121123,0.997674660319,Naval Architecture,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
43,7DR6B1W7JU,-0.135279632252,1.0,-0.354087334475,-1.96999768005,0.784989403896,0.554445835844,Electrical Engineering,1.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
44,4HMLPOZRLW,0.437772280464,3.0,0.593922536963,1.08820412494,0.590370777677,,Music Chem,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
45,YGIMNHRLP2,0.552382663007,0.0,,-1.96999768005,0.784989403896,0.0330001599903,,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
46,LOCXFZSWSD,1.18273976699,7.0,0.66163752778,0.323653673689,0.784989403896,1.7798431741,Neuroscience,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,1.0,Rice,0.151,6621,0,0.0,0
47,06GOUX1BYL,-1.0521626926,7.0,-1.16666722428,-0.440896777558,0.395752151459,0.0069278761976,Computer Science,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
48,OKBGGYS8QL,0.265856706649,3.0,1.06792747268,-0.440896777558,0.784989403896,0.658734971014,International Relations,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
50,EOU42H2SVK,-1.16677307514,3.0,0.593922536963,0.323653673689,-0.188103727196,-0.305939529314,Bioengineering,0.0,0.0,0.0,1.0,0.0,0.0,Rice,1.0,0.0,0.0,1.0,Rice,0.151,6621,0,0.0,0
51,8LXOBJ5FDF,0.609687854278,7.0,0.0522026104268,-0.440896777558,-0.188103727196,-0.0452166913877,,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
53,G63MRJ6AUL,-0.0206692497087,2.0,0.356920069103,-1.2054472288,0.541716121123,0.867313241356,physics,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
54,9BI9LSPREG,-0.135279632252,7.0,1.06792747268,0.323653673689,0.249788181795,0.111217011368,Political Science,0.0,0.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
55,166YT116GI,0.151246324106,4.0,-0.354087334475,-0.440896777558,-0.188103727196,-0.384156380692,Economics,0.0,0.0,0.0,0.0,0.0,0.0,Rice,1.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
56,EXRPJ2NJ2F,0.552382663007,7.0,1.06792747268,0.323653673689,-0.0421397575321,-0.436300948278,Chemistry,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
57,12T8Z0FAPK,-0.536415971153,6.0,-0.591089802335,1.08820412494,0.444406808014,,Marine Biology,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
58,XZSMBCWW4F,-1.96904575294,2.0,-1.77610214163,0.323653673689,-2.03698067627,-1.73991513791,Biology Nursing,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
60,52BYPBBHEX,0.896213810636,6.0,0.830925004822,1.08820412494,0.784989403896,-0.827385205168,Management,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
61,C62LMCW9O1,-2.19826651803,1.0,-3.19811694879,0.323653673689,-0.917923575514,-2.05278254342,Corporate communications,0.0,1.0,0.0,1.0,0.0,0.0,Rice,1.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
63,WQVYFGMWO5,1.46926572335,2.0,1.06792747268,-0.440896777558,0.784989403896,,Engineering,0.0,1.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,0.0,1.0,Rice,0.151,6621,0,0.0,0
64,NLZYQRCRRD,0.151246324106,4.0,-0.354087334475,1.85275457618,0.784989403896,1.7798431741,Political Science Economics,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
65,G8C5I99TXT,0.724298236821,1.0,-0.354087334475,0.323653673689,0.29844283835,0.111217011368,International Relations,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
66,Q91G2OV7LN,1.24004495827,5.0,0.783524511251,0.323653673689,0.784989403896,0.684807254807,Finance,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
67,1RW6O9LFD8,0.32316189792,7.0,0.864782500231,0.323653673689,0.29844283835,0.111217011368,Engineering,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
69,KHMW908R5Q,-0.880247118782,4.0,-1.42059843984,0.323653673689,0.590370777677,0.997674660319,Biochemistry,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
71,6HHR7OAU81,0.609687854278,4.0,0.356920069103,-0.440896777558,0.249788181795,,Linguistics,0.0,1.0,0.0,0.0,0.0,0.0,Rice,1.0,0.0,0.0,1.0,Rice,0.151,6621,0,0.0,0
73,M1A1QVBTIE,-0.937552310053,3.0,-1.30209720591,-1.96999768005,-1.35581548451,0.919457808941,Chemistry,0.0,0.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
75,UPIYWVVDVO,1.01082419318,1.0,1.06792747268,-0.440896777558,0.784989403896,0.371939849295,Biology,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
76,0GDEJ26SWA,-0.593721162424,3.0,0.119917601244,-1.96999768005,0.784989403896,1.38875891721,Engineering,1.0,0.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
77,TRYPDGD9FE,0.896213810636,2.0,1.06792747268,-0.440896777558,0.395752151459,,,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
78,W93LFIMQ8W,0.0366359415628,7.0,0.864782500231,1.85275457618,-0.674650292741,-0.0452166913877,Biology,0.0,0.0,0.0,0.0,0.0,0.0,Rice,1.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
79,TI4LYYUHO3,0.495077471735,0.0,,-0.440896777558,-0.917923575514,-1.4270477324,engineering,1.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
80,MVXTB5NO9P,0.151246324106,4.0,-0.354087334475,-0.440896777558,0.201133525241,-0.566662367241,Chemical Engineering,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
81,JKFHW6I2D1,1.35465534081,7.0,1.06792747268,1.08820412494,0.784989403896,-0.0452166913877,Biochem,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
82,X8WWSMXTZN,1.06812938445,7.0,1.06792747268,0.323653673689,0.784989403896,0.81516867377,Bioengineering,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
83,QLALEH66TM,-0.135279632252,7.0,-0.150942362024,-0.440896777558,0.29844283835,-0.305939529314,,1.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
84,NJU5PK4UPL,0.724298236821,4.0,1.06792747268,-1.96999768005,-0.188103727196,-0.0452166913877,biology,0.0,1.0,0.0,1.0,0.0,0.0,Rice,1.0,0.0,0.0,1.0,Rice,0.151,6621,0,0.0,0
85,SQ8US1CE67,-0.421805588609,6.0,-0.591089802335,-0.440896777558,0.444406808014,,Biology,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
86,ND95OOJTUR,-0.421805588609,0.0,,-0.440896777558,-0.674650292741,,,1.0,1.0,0.0,0.0,1.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
88,TQ9PIOZBRB,0.838908619364,4.0,1.06792747268,-0.440896777558,0.0551695555771,1.38875891721,Sociology Economics,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
89,NE7VJODWNC,0.0939411328343,3.0,-0.354087334475,0.323653673689,0.541716121123,,Mechanical Engineering,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
90,E1XKZGXYT1,0.380467089192,5.0,0.783524511251,0.323653673689,0.784989403896,1.33661434962,Neuroscience,0.0,0.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
91,X2VLSVN93U,0.208551515377,1.0,-0.354087334475,1.08820412494,0.784989403896,0.345867565502,biology,1.0,0.0,0.0,0.0,0.0,0.0,Rice,1.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
92,DYRXY7SRVA,0.0366359415628,5.0,1.06792747268,0.323653673689,0.736334747341,1.49304805238,Applied and Engineering Physics,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
93,327VR3D712,-0.0206692497087,0.0,,-1.96999768005,0.784989403896,1.7798431741,Science,1.0,1.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,0.0,1.0,Rice,0.151,6621,0,0.0,0
94,8IHOVLG2DG,0.265856706649,0.0,,-0.440896777558,0.784989403896,-0.827385205168,Neuroscience,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
95,H8UZ0FBCE3,-1.22407826641,1.0,-0.354087334475,0.323653673689,0.29844283835,0.345867565502,Neuroscience,,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
96,T9EUSQ8F69,0.838908619364,0.0,,-1.2054472288,0.347097494905,-0.0452166913877,Computer Science,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
97,VGSLQ2I7JH,-0.536415971153,0.0,,0.323653673689,0.784989403896,-0.332011813107,,1.0,0.0,0.0,0.0,1.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
100,S0FKOLT6RH,0.265856706649,3.0,-0.354087334475,-1.2054472288,-0.917923575514,0.476228984466,information systems,0.0,1.0,0.0,0.0,0.0,0.0,Rice,1.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
101,KHVGH7XQRM,0.66699304555,7.0,0.458492555329,-1.96999768005,0.784989403896,-0.123433542766,Biochemistry and Cell Biology,0.0,1.0,0.0,0.0,0.0,0.0,Rice,1.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
102,IYICB97P34,-0.0779744409803,2.0,-0.354087334475,2.61730502743,-1.64774342383,-1.34883088102,Biotechnology,1.0,1.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
103,A3NUOD34JP,0.0939411328343,2.0,0.356920069103,-0.440896777558,-1.16119685829,,Computer Science,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
105,RPD0YHHYNH,0.724298236821,7.0,0.0522026104268,-0.440896777558,0.784989403896,0.476228984466,Engineer,1.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
106,VSW8OWEWCP,0.0366359415628,3.0,-0.828092270194,0.323653673689,-0.188103727196,,Electrical Computer Engineering,0.0,1.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
107,NTTQ7SF0UC,1.41196053208,7.0,1.06792747268,-0.440896777558,0.784989403896,,Statistics,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
108,AMAM1GPL8L,0.495077471735,5.0,0.783524511251,1.08820412494,0.347097494905,-0.253794961729,Chemical Engineering,0.0,1.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
109,05VNAFE0FT,0.0366359415628,6.0,-0.117084866616,-0.440896777558,0.201133525241,1.02374694411,Aerospace Engineering or Computer Science,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
110,JIF175BG1B,-2.2555717093,0.0,,-0.440896777558,0.784989403896,,,,1.0,0.0,1.0,1.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
111,Z5WNO2QJD0,1.18273976699,7.0,-0.354087334475,0.323653673689,-0.188103727196,-0.827385205168,Bioengineering,0.0,1.0,0.0,0.0,0.0,0.0,Rice,1.0,0.0,0.0,1.0,Rice,0.151,6621,0,0.0,0
112,419IZ4IPCX,0.495077471735,4.0,-0.354087334475,0.323653673689,0.784989403896,1.33661434962,Mechanical Engineer,0.0,0.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
113,A7PAV3MMGU,-0.536415971153,2.0,0.356920069103,0.323653673689,-0.674650292741,-0.0452166913877,International Studies,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
115,Q6MLO1ILNU,1.18273976699,7.0,1.06792747268,1.08820412494,-1.16119685829,-1.08810804309,Social Sciences,1.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
117,XT8M39RFRN,-0.0206692497087,4.0,0.356920069103,0.323653673689,0.493061464568,0.502301268258,biological science,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
118,J67S90BH59,-0.0779744409803,4.0,-1.42059843984,0.323653673689,-0.431377009969,-0.618806934826,Engineering,0.0,0.0,0.0,0.0,0.0,1.0,Rice,1.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
119,UOO7VONFSW,0.495077471735,1.0,-1.77610214163,-1.96999768005,-0.674650292741,,Biology,1.0,0.0,0.0,0.0,0.0,0.0,Rice,1.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
120,RP2ZTM2HN9,1.29735014954,5.0,0.783524511251,1.08820412494,-0.0421397575321,-0.305939529314,Chemistry Psychology Classics,1.0,1.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
121,PBTWZBCX7N,1.06812938445,7.0,1.06792747268,0.323653673689,0.784989403896,0.215506146539,neurobiology,0.0,0.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,0.0,1.0,Rice,0.151,6621,0,0.0,0
122,9PTJ4R1HP0,0.208551515377,5.0,-0.0696843730438,-0.440896777558,0.784989403896,0.189433862746,Biology,1.0,0.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
123,NU5BVWTGHP,-2.6567080482,4.0,-3.90912435237,0.323653673689,-1.11254220173,0.736951822392,Mechanical Engineering,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
125,S95ZOXUE2V,0.953519001907,7.0,0.864782500231,0.323653673689,-0.188103727196,0.997674660319,Engineering,1.0,1.0,0.0,0.0,1.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
127,66LP0MXZ1T,0.781603428093,5.0,0.214718588388,0.323653673689,0.639025434232,-0.175578110351,chemistry,0.0,0.0,0.0,0.0,0.0,1.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
128,X6IF60O71O,0.609687854278,0.0,,0.323653673689,-1.64774342383,-1.34883088102,Cognitive Sciences,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
129,HHQW39RI84,0.495077471735,0.0,,-1.96999768005,0.784989403896,,Biology,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,0.0,Rice,0.151,6621,0,0.0,0
130,MSJLUW2LM6,-0.249890014795,0.0,,-1.96999768005,0.784989403896,1.51912033617,Biology,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,0.0,1.0,Rice,0.151,6621,0,0.0,0
131,4X0CLHM2DO,-0.536415971153,3.0,-0.354087334475,-0.440896777558,-0.577340979632,1.7798431741,Biochemistry,0.0,1.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
132,Y4AA8QBTR9,0.380467089192,5.0,-0.0696843730438,-0.440896777558,0.784989403896,0.476228984466,Chemistry,0.0,0.0,0.0,0.0,0.0,0.0,Rice,1.0,0.0,1.0,1.0,Rice,0.151,6621,0,0.0,0
133,HN1QPQ2LYD,0.0939411328343,4.0,-1.06509473805,0.323653673689,-2.13428998938,0.476228984466,Undecided,0.0,0.0,0.0,1.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
134,E3NESNA71L,-0.192584823523,6.0,-0.591089802335,-1.96999768005,-0.431377009969,1.38875891721,Computer Engineering,0.0,0.0,0.0,0.0,0.0,0.0,Rice,0.0,0.0,1.0,0.0,Rice,0.151,6621,0,0.0,0
